Chromosome [path=[(292.6797695123541, 417.9254971956659), (315.36505838793465, 434.896470060175), (341.91169292052973, 399.9228195770394)], fitness=72.23846639139119]
Chromosome [path=[(292.6797695123541, 417.9254971956659), (315.36505838793465, 434.896470060175), (341.91169292052973, 399.9228195770394)], fitness=72.23846639139119]
Chromosome [path=[(292.6797695123541, 417.9254971956659), (315.36505838793465, 434.896470060175), (341.91169292052973, 399.9228195770394)], fitness=72.23846639139119]
Chromosome [path=[(292.6797695123541, 417.9254971956659), (315.36505838793465, 434.896470060175), (341.91169292052973, 399.9228195770394)], fitness=72.23846639139119]
Chromosome [path=[(292.6797695123541, 417.9254971956659), (315.36505838793465, 434.896470060175), (341.91169292052973, 399.9228195770394)], fitness=72.23846639139119]
Chromosome [path=[(292.6797695123541, 417.9254971956659), (315.36505838793465, 434.896470060175), (341.91169292052973, 399.9228195770394)], fitness=72.23846639139119]
Chromosome [path=[(292.6797695123541, 417.9254971956659), (315.36505838793465, 434.896470060175), (341.91169292052973, 399.9228195770394)], fitness=72.23846639139119]
Chromosome [path=[(292.6797695123541, 417.9254971956659), (315.36505838793465, 434.896470060175), (341.91169292052973, 399.9228195770394)], fitness=72.23846639139119]
Chromosome [path=[(292.6797695123541, 417.9254971956659), (315.36505838793465, 434.896470060175), (341.91169292052973, 399.9228195770394)], fitness=72.23846639139119]
Chromosome [path=[(292.6797695123541, 417.9254971956659), (315.36505838793465, 434.896470060175), (341.91169292052973, 399.9228195770394)], fitness=72.23846639139119]
