nome,distancia,velocidade,angulo,energia,cordenadaX,cordenadaY,hit
sample.Fire,0.0,385.76738658491854,-2.326217113911679,100.0,114.55204063002967,139.37404683207228,hit
sample.Corners,0.0,466.1813952545079,1.1081837127778744,97.0,17.999999999999943,582.0,hit
sample.Corners,0.0,466.1813952545071,1.1081837127782814,53.0,18.0,582.0,hit
sample.Fire,-6.5,344.33252159759627,5.400572489417945,94.0,119.63747362009781,179.77203602365353,no_hit
sample.Corners,0.0,466.1813952545062,1.1081837127786884,22.0,17.999999999999886,581.9999999999995,hit
sample.Fire,0.0,397.6317797141393,0.3389993720960085,97.0,78.74884486010797,168.00434225632927,hit
sample.Fire,0.0,392.4794129534859,-2.8908941864773934,80.0,113.19605312575302,131.7636214756484,hit
sample.Fire,0.0,401.1188470108814,0.318654471357798,61.0,76.30473164052631,165.51314590301882,hit
sample.Fire,0.0,395.956767022263,-2.8478383387309836,44.0,110.7519399061718,129.2724251223384,hit
sample.Fire,0.0,404.6059640112163,0.29866025525017525,27.0,73.86061842094489,163.0219495497081,hit
sample.Fire,0.0,298.2564950950238,0.32795760844170635,99.0,564.8865706276106,41.61611551739511,hit
sample.Fire,0.0,315.2961957618736,-3.2914581008485957,78.0,564.7513497450711,17.999999999999993,no_hit
sample.Fire,0.0,308.8879119726731,-3.1866887269849307,75.0,558.3177080835808,17.999999999999982,no_hit
sample.Fire,2.0,306.0031934798927,-3.3401864704931503,72.0,555.5169668040892,19.075103848635834,no_hit
sample.Fire,0.0,297.4238328920771,-2.9879516586722716,69.0,546.8055218894181,17.999999999999947,hit
sample.Fire,0.0,297.4238328920763,-2.9879516586718267,54.0,546.805521889418,17.999999999999947,no_hit
sample.Fire,0.0,291.6853506518292,-2.882578464279487,47.0,541.0415294410112,18.00000000000004,hit
sample.Fire,0.0,291.6853506518283,-2.8825784642790415,32.0,541.0415294410112,17.999999999999947,no_hit
sample.Fire,0.0,285.9478945812285,-2.772976325565335,25.0,535.2775369926044,18.000000000000025,hit
sample.Fire,0.0,285.94789458122756,-2.7729763255648896,9.0,535.2775369926044,17.999999999999947,no_hit
sample.Fire,0.0,280.2115277141268,-2.658886301670787,6.0,529.5135445441974,17.999999999999943,hit
sample.Corners,0.0,657.7416927032909,-1.3511061627625722,19.0,782.0000000000001,581.9999999999999,hit
sample.Fire,0.0,433.6295831628867,-1.4246498825236336,100.0,641.6007430959153,163.43594549329995,hit
sample.Fire,0.0,586.2767536869646,3.5020553456258847,84.0,657.1041236550947,115.9002200729673,no_hit
